neighborhood,overallqual,grlivarea,garagearea,garagefinish,num_flrs,saleprice
25,6,1479,475.0,2,2,130500
10,7,2122,559.0,2,2,220000
21,5,1057,246.0,3,1,109000
2,5,1444,400.0,1,2,174000
10,6,1445,484.0,3,1,138500
21,6,1888,578.0,1,1,190000
23,6,1072,525.0,1,1,140000
21,5,1188,531.0,2,1,142000
18,5,924,420.0,3,1,112500
21,5,2080,504.0,3,2,135000
26,6,987,264.0,3,2,85400
16,7,1208,632.0,2,1,183600
10,5,2016,576.0,3,2,131000
8,8,1607,480.0,3,2,200000
16,7,1361,610.0,2,1,193000
27,5,1430,624.0,2,1,173500
18,5,1344,513.0,3,2,98000
25,5,1121,480.0,3,1,139000
25,6,1285,528.0,2,1,143500
8,7,1547,614.0,3,2,215200
25,5,894,450.0,1,1,129000
3,8,1659,499.0,1,1,278000
5,8,2253,575.0,1,2,344133
15,6,1187,420.0,1,1,185000
15,5,1056,572.0,1,1,145000
21,6,1453,530.0,2,1,187500
25,5,894,336.0,3,1,138500
4,5,1938,240.0,3,1,198000
21,5,924,576.0,3,1,122900
11,8,2524,542.0,1,1,278000
4,8,1517,400.0,3,2,230000
1,8,1494,481.0,1,1,270000
21,6,948,410.0,3,1,125000
16,8,1718,826.0,2,1,297000
21,6,1142,384.0,2,1,113500
28,5,1475,336.0,2,2,127000
11,6,1844,546.0,2,1,190000
11,7,1242,528.0,3,1,175500
16,5,990,384.0,3,1,146000
23,5,1256,276.0,1,1,147500
5,10,2076,850.0,1,1,465000
27,5,1110,602.0,1,1,165500
18,5,1795,352.0,3,1,131500
25,5,1040,384.0,3,1,129500
4,8,1873,786.0,1,2,257076
23,5,1604,660.0,3,1,117000
4,7,1502,270.0,2,2,149000
21,5,1063,280.0,2,1,128000
5,7,1626,474.0,2,2,155000
8,6,1524,440.0,3,2,166000
24,4,1981,576.0,3,1,135000
11,7,2784,564.0,2,2,250000
21,6,1575,400.0,3,1,155000
25,6,1352,299.0,1,2,158000
8,7,1200,480.0,2,2,149500
21,5,936,240.0,3,1,121000
21,6,1040,293.0,1,1,136000
15,6,1636,386.0,1,2,173000
6,8,2270,671.0,1,2,290000
8,8,2610,550.0,1,2,303477
19,7,1483,690.0,2,1,270000
18,5,1740,225.0,3,1,122250
21,5,1382,350.0,3,1,153000
4,7,1098,216.0,3,2,148500
23,7,1708,380.0,3,2,130000
5,9,1802,843.0,1,1,372000
13,7,1506,440.0,1,1,213490
23,7,1508,572.0,2,1,308030
27,7,2032,786.0,1,1,300000
21,6,1194,539.0,1,1,159500
23,7,1709,380.0,3,2,137500
8,7,1616,834.0,2,1,232000
22,6,768,440.0,3,1,93850
25,5,872,322.0,3,1,105000
17,4,520,240.0,3,1,68500
21,5,2274,480.0,3,2,154300
18,5,1232,480.0,3,2,114000
3,9,2234,1166.0,1,1,501837
18,5,1416,720.0,3,1,153900
21,4,864,576.0,3,1,130000
27,6,1189,392.0,2,1,160500
5,9,1666,575.0,2,1,310090
10,7,1200,555.0,2,1,184900
21,5,928,252.0,3,1,132000
11,5,1336,502.0,2,1,163000
8,7,1200,480.0,2,2,155000
11,6,1427,516.0,2,1,183000
16,7,1992,608.0,2,2,211000
10,7,1540,495.0,2,2,184000
10,5,1535,400.0,3,1,118858
21,5,1152,484.0,2,1,180500
8,8,1151,484.0,1,1,166000
25,6,1138,480.0,2,1,148000
21,5,1074,396.0,3,1,124000
5,9,1561,556.0,1,1,277500
6,8,2726,725.0,2,2,350000
3,9,1884,670.0,1,1,387000
1,8,1671,550.0,2,1,290000
27,6,1961,560.0,1,2,215000
11,5,1193,501.0,1,1,146500
8,7,1382,490.0,3,2,165000
18,6,2526,216.0,3,1,136000
21,6,1390,550.0,3,1,252000
5,7,1626,474.0,2,2,175500
18,5,1558,400.0,3,2,150000
21,5,1422,286.0,2,1,139900
17,5,1573,360.0,3,1,162900
21,6,1116,440.0,3,1,160000
11,6,1707,479.0,1,1,184000
23,5,1466,528.0,1,1,149900
8,9,1638,495.0,1,1,300000
19,5,1721,626.0,3,1,145000
16,6,1764,470.0,2,2,231500
21,5,1202,304.0,2,1,120000
25,5,988,572.0,3,1,128500
18,5,1028,360.0,3,1,115000
18,5,1284,240.0,3,1,110000
1,9,2944,864.0,2,2,150000
15,8,1414,403.0,1,2,178000
4,7,1609,579.0,3,2,199500
15,6,1525,400.0,1,2,183500
22,5,1656,288.0,3,1,126000
12,7,1055,440.0,3,1,148500
18,5,1352,720.0,3,2,149000
12,6,1456,440.0,3,2,137900
1,8,1719,473.0,1,1,324000
26,6,987,264.0,3,2,103400
5,8,1554,627.0,2,1,209500
3,10,3390,758.0,1,2,545224
15,4,864,400.0,3,1,141000
15,6,1889,431.0,1,2,215000
25,5,1040,260.0,3,1,127000
23,5,1172,366.0,1,1,128000
8,8,1418,852.0,2,1,267916
17,6,1367,560.0,3,1,127500
23,7,1922,672.0,2,1,198500
11,6,1422,576.0,1,1,175500
16,7,1842,486.0,1,2,217500
18,4,1962,572.0,3,1,149500
21,5,1120,656.0,2,1,148800
3,9,2868,716.0,1,2,556581
21,6,1478,442.0,2,1,156500
16,7,1995,610.0,2,2,237000
21,5,912,297.0,1,1,120000
15,6,1326,388.0,1,1,203000
3,8,1204,461.0,2,1,130000
21,6,1611,442.0,2,2,167900
17,4,960,576.0,3,1,129000
21,5,1236,447.0,3,1,134450
25,5,1416,576.0,3,1,112000
10,7,1873,619.0,2,2,207000
5,7,1626,474.0,2,2,154000
21,5,816,308.0,3,1,129900
28,5,1112,336.0,3,2,85000
18,7,1111,288.0,3,1,116900
12,6,1441,440.0,3,2,148500
23,4,924,280.0,3,1,80000
25,5,1126,506.0,3,1,152000
23,5,992,319.0,3,1,155891
17,6,1376,576.0,3,1,165000
8,7,1218,676.0,2,1,204500
21,5,1644,312.0,3,2,146500
11,7,1601,478.0,2,1,157000
18,7,2495,342.0,3,2,184000
15,6,1509,393.0,1,2,183200
25,5,1092,288.0,3,1,139000
6,7,2418,983.0,2,2,341000
26,6,987,264.0,3,2,96000
23,4,1121,440.0,2,1,140000
18,6,1236,923.0,3,1,149700
11,5,1074,495.0,2,1,153500
22,1,733,487.0,3,1,13100
16,7,1768,543.0,2,2,224900
8,7,1266,453.0,3,1,176000
6,8,2872,541.0,1,1,285000
8,8,1464,754.0,3,1,282922
21,7,2157,487.0,1,2,226000
3,8,2576,666.0,1,2,361919
3,9,2798,670.0,1,2,457347
19,8,1743,529.0,1,1,279000
27,6,1567,714.0,2,1,196000
11,7,1370,479.0,2,1,152000
21,5,2634,968.0,3,2,200000
16,8,1590,754.0,1,1,294900
10,7,1450,788.0,2,1,224243
23,6,1338,528.0,3,1,92000
15,7,1456,400.0,1,2,179540
5,10,2392,968.0,1,1,386250
28,4,992,297.0,1,1,106500
8,10,2007,812.0,1,2,310000
6,7,2385,600.0,1,2,252000
4,7,1646,240.0,3,2,164000
15,7,1456,400.0,1,2,177594
17,5,1040,624.0,1,1,123900
4,6,2624,864.0,3,2,239000
27,5,1264,528.0,3,1,169000
13,7,1557,420.0,1,1,234000
27,6,1287,541.0,2,1,173000
21,6,1004,480.0,1,1,149000
10,7,1162,483.0,1,1,170000
8,7,1436,529.0,1,1,225000
25,5,960,300.0,1,1,144900
23,5,1196,336.0,2,1,144000
13,8,1269,430.0,1,1,192000
21,5,1031,230.0,3,1,145500
18,4,720,280.0,3,1,86900
21,6,1505,505.0,2,1,149500
4,5,954,240.0,3,1,119750
16,6,1500,564.0,2,2,173900
21,5,1050,368.0,3,1,136500
3,8,2687,618.0,1,2,270000
19,6,1252,564.0,2,1,235000
15,7,1430,400.0,2,1,156000
10,5,1114,576.0,3,1,153000
27,6,1224,402.0,1,1,165000
3,9,2504,656.0,1,2,325000
4,5,1355,528.0,3,1,140000
22,6,2294,658.0,3,1,202500
5,9,1702,1052.0,1,1,367294
2,6,1509,600.0,2,1,175000
4,7,1717,642.0,3,2,140000
2,7,1240,528.0,3,1,174000
15,7,1166,400.0,1,1,190000
21,6,1652,510.0,2,1,200000
21,6,2142,509.0,1,2,193500
21,6,1092,504.0,2,1,145000
4,7,1671,451.0,3,1,218000
23,5,1488,569.0,2,1,135000
21,5,1624,240.0,2,1,146500
5,6,1362,460.0,2,1,194700
8,7,1218,462.0,1,1,230348
18,6,1068,288.0,3,1,109500
27,6,1625,576.0,1,1,242500
3,7,1767,504.0,2,2,239000
21,6,1050,286.0,2,1,156000
21,4,907,352.0,3,1,109008
22,2,845,256.0,3,1,68104
6,8,2501,751.0,2,2,290000
21,5,1209,504.0,2,1,159000
17,4,906,231.0,3,2,87000
16,8,1601,670.0,2,1,272000
16,7,1336,502.0,3,1,198000
18,4,1656,440.0,3,1,119164
15,7,1892,431.0,2,2,226750
18,3,1699,420.0,3,2,95000
17,6,1416,312.0,3,1,139900
18,4,672,308.0,3,1,86900
27,5,1160,257.0,3,1,152500
23,4,930,286.0,2,1,99000
10,6,1575,529.0,2,1,179200
25,5,1059,286.0,1,1,142500
25,4,1005,440.0,3,1,115400
8,7,1929,650.0,1,2,226000
8,7,1200,480.0,2,2,144152
5,8,2690,795.0,1,2,370000
27,5,833,495.0,3,1,149900
15,6,1456,429.0,2,2,172785
21,5,864,720.0,2,1,129000
11,6,1586,435.0,3,1,181000
21,5,1370,300.0,2,1,148000
13,7,1555,430.0,1,1,192500
9,6,1556,452.0,1,2,151000
16,5,882,461.0,3,1,112500
17,5,1167,495.0,3,1,144000
5,9,1800,944.0,2,1,370967
12,6,1456,440.0,3,2,149900
16,7,1660,493.0,2,2,195000
15,7,1482,392.0,1,1,163900
19,6,1522,552.0,1,1,182000
2,9,2036,780.0,1,1,410000
27,5,1595,672.0,3,1,152000
10,7,1686,462.0,1,2,184000
27,7,1344,784.0,1,1,206300
27,5,1652,928.0,3,1,146500
21,4,1337,263.0,3,1,108000
11,7,1920,487.0,2,1,170000
16,6,848,420.0,2,1,145000
12,7,1055,440.0,2,1,123000
19,6,1291,431.0,3,1,173000
18,6,720,484.0,3,1,105900
28,4,988,297.0,3,1,91000
4,5,1523,295.0,3,1,158000
16,7,1728,572.0,2,2,190000
1,8,1239,477.0,1,1,217500
22,5,1955,356.0,1,1,165500
4,7,1564,234.0,3,2,174500
23,4,1204,312.0,3,1,100000
21,6,1329,312.0,3,1,172000
16,5,879,440.0,3,1,120000
10,4,841,294.0,3,1,82000
21,6,1312,649.0,3,1,127000
18,6,2058,396.0,3,2,129500
3,8,1360,565.0,2,1,187500
16,8,1786,715.0,2,1,300000
11,6,1993,495.0,2,2,190000
23,4,1362,280.0,3,1,96000
8,7,1550,438.0,1,2,241000
25,5,1696,349.0,2,1,143900
28,4,1092,286.0,3,2,87550
5,9,1752,576.0,2,1,319900
3,9,2473,675.0,1,2,356383
16,9,1800,702.0,1,1,239000
6,7,2197,783.0,1,2,287500
18,5,1382,660.0,3,1,128500
15,7,1733,433.0,1,2,185088
8,7,1402,625.0,2,1,229800
27,5,887,288.0,2,1,124500
21,5,1051,504.0,2,1,142000
24,6,1510,216.0,3,2,149000
11,5,1656,506.0,3,1,135000
12,6,958,440.0,2,1,128000
6,8,3228,546.0,2,1,430000
25,5,1040,686.0,1,1,145000
4,5,1250,552.0,3,1,139000
11,6,1868,477.0,1,1,178000
5,10,2790,1150.0,1,2,460000
17,6,2134,441.0,3,2,214500
15,7,2060,390.0,2,2,214000
18,6,1378,162.0,3,1,128900
27,4,1622,1356.0,1,1,168000
8,8,1880,880.0,1,2,310013
3,8,1088,461.0,2,1,170000
21,5,1040,286.0,2,1,133700
4,6,1502,180.0,3,2,165000
26,6,987,264.0,3,2,89500
21,6,1095,264.0,2,1,140000
23,7,1709,380.0,3,2,134000
10,6,1731,462.0,2,2,248500
25,4,960,364.0,3,1,145000
11,6,1552,434.0,2,2,179900
8,8,1795,895.0,2,1,147000
27,5,1274,576.0,3,2,136000
17,6,1196,576.0,3,1,128000
25,4,704,220.0,3,1,88750
21,5,972,305.0,3,1,122500
21,6,1458,330.0,3,1,97500
21,6,1008,430.0,2,1,135000
5,9,1828,774.0,3,1,314813
17,6,1176,624.0,3,1,134900
23,5,1057,288.0,3,1,137000
6,8,2113,839.0,1,1,350000
21,5,1387,300.0,2,1,145000
5,9,2758,814.0,1,2,418000
18,3,840,250.0,3,1,64000
24,5,1520,281.0,3,1,159434
8,8,1542,852.0,3,1,260261
21,5,1385,720.0,3,1,166000
21,5,936,288.0,2,1,130000
24,5,1288,240.0,3,1,112000
21,5,1128,525.0,2,1,155000
2,8,1968,680.0,1,2,269500
21,6,1246,441.0,2,1,172000
4,7,1740,240.0,3,2,219500
25,5,925,484.0,3,1,133500
15,7,1430,400.0,2,1,170000
18,8,1566,288.0,3,2,150000
21,5,950,400.0,3,1,130000
21,5,1144,796.0,2,1,143000
21,5,1114,451.0,2,1,140000
21,7,2223,516.0,1,1,244000
22,5,1111,288.0,3,2,101000
18,5,960,624.0,3,1,125000
15,6,1633,460.0,1,2,183000
21,6,984,280.0,3,1,112500
11,6,1686,612.0,3,1,207500
16,7,1614,576.0,1,1,225000
16,5,864,297.0,3,1,119900
5,7,1740,874.0,2,1,293000
25,5,1721,440.0,2,1,180000
27,6,1034,888.0,3,1,169900
25,6,1902,539.0,3,1,112000
10,6,1097,480.0,3,1,152000
5,9,2206,670.0,1,2,300000
23,6,1117,672.0,3,1,107000
18,4,2290,560.0,3,2,122500
26,6,948,264.0,3,2,89000
24,6,919,231.0,3,1,95000
11,6,1152,412.0,2,1,143450
5,9,2334,751.0,1,2,376162
21,5,1264,461.0,3,1,167500
10,5,1224,528.0,3,1,153337
23,6,1369,300.0,3,2,103600
16,5,894,308.0,3,1,128200
8,6,1573,440.0,3,2,177500
5,8,2250,756.0,1,2,320000
15,6,1514,394.0,1,2,190000
18,5,1387,256.0,3,1,93000
22,4,1317,250.0,3,2,40000
22,4,952,330.0,2,1,50138
23,6,1113,504.0,2,1,148000
22,5,778,924.0,1,1,120500
24,6,1489,240.0,3,1,139500
23,9,1698,768.0,1,1,320000
25,7,2267,498.0,1,2,219000
27,5,902,484.0,3,1,131000
15,6,1495,440.0,2,2,171925
15,5,1384,404.0,3,1,177900
4,6,1436,228.0,3,2,141500
15,6,1636,440.0,1,2,191000
10,6,1158,576.0,3,1,158000
2,8,1646,870.0,2,1,248900
24,5,1768,240.0,3,1,175000
21,6,1565,299.0,2,1,185900
18,7,1768,320.0,3,2,163000
25,6,1096,484.0,3,1,157500
15,7,2312,658.0,1,2,245000
3,8,1337,462.0,2,1,180000
8,7,1102,480.0,3,2,148800
16,8,2031,577.0,2,2,237000
24,2,438,246.0,3,1,60000
23,5,1033,504.0,2,1,165000
16,7,2327,596.0,2,2,240000
15,7,1187,420.0,2,1,160000
24,6,1340,440.0,3,1,128000
21,6,1567,542.0,3,1,256000
18,7,1482,324.0,3,2,143000
2,7,1689,433.0,1,1,231713
15,5,1424,828.0,3,1,155000
27,5,816,264.0,3,1,128500
24,7,1424,312.0,3,1,168000
21,7,1479,484.0,1,2,184000
11,6,1442,615.0,2,1,185000
15,8,1936,504.0,2,2,230500
16,7,1939,555.0,2,2,227000
16,6,1476,540.0,1,2,173500
21,5,898,326.0,2,1,140000
8,8,1460,480.0,1,1,247000
25,6,1034,504.0,1,1,149900
16,5,1174,528.0,3,1,158000
8,7,1080,496.0,2,2,147110
22,6,1376,198.0,3,1,119500
4,5,1567,440.0,3,1,205000
3,8,1616,608.0,2,1,236500
24,5,1551,240.0,3,1,137000
21,5,960,330.0,2,1,122000
15,7,1302,436.0,1,1,176485
17,5,816,210.0,3,1,109000
14,7,1502,286.0,1,1,330000
18,6,1133,308.0,3,1,143000
6,9,3078,806.0,1,2,410000
10,6,1721,471.0,2,2,201000
18,4,1760,648.0,3,1,80000
4,6,2320,180.0,3,2,259500
2,7,2486,452.0,1,2,279900
21,5,1246,305.0,2,1,154000
19,6,2144,389.0,1,1,277000
23,5,1150,215.0,3,1,128000
5,8,1600,890.0,2,1,256300
4,4,1755,231.0,3,1,188000
2,8,1800,765.0,1,1,312500
8,7,1200,480.0,2,2,151000
26,5,1365,440.0,3,2,122500
10,6,1696,542.0,2,2,188000
16,7,1809,638.0,2,2,209700
3,8,2234,724.0,2,1,441929
10,6,1680,474.0,2,2,163000
19,6,2087,444.0,1,2,187500
16,8,1513,521.0,1,1,220000
21,5,1107,308.0,2,1,127000
21,5,827,392.0,3,1,107500
18,5,764,504.0,3,1,73000
5,9,1792,874.0,1,1,374000
5,8,2649,746.0,1,2,421250
15,6,1593,389.0,2,2,178000
23,4,1181,588.0,2,1,137500
6,8,1987,691.0,1,1,301500
24,6,1242,180.0,3,2,105000
21,6,976,504.0,2,1,157500
18,5,1214,216.0,3,1,117000
21,5,864,336.0,3,1,105000
24,6,1639,240.0,3,1,115000
5,9,1736,834.0,2,1,360000
10,5,1535,400.0,3,1,118858
11,6,1632,484.0,3,2,173000
18,3,725,320.0,3,1,78500
15,7,1720,440.0,1,2,183500
18,4,936,576.0,3,1,93000
13,8,1589,630.0,1,1,226500
15,6,1571,380.0,2,2,178000
16,7,1479,558.0,2,1,226000
27,5,1632,898.0,2,2,173000
25,5,864,360.0,3,1,62383
5,9,2713,858.0,1,2,446261
24,7,1479,312.0,3,2,160000
13,7,1576,668.0,2,1,219990
16,7,1479,577.0,2,1,191000
17,5,1060,308.0,3,1,136500
23,4,943,308.0,3,1,80000
11,7,2183,786.0,3,1,229000
10,7,1949,574.0,1,2,236000
2,10,1824,932.0,1,1,392000
22,6,1930,316.0,3,2,149000
8,10,2393,846.0,1,2,345000
18,5,2014,624.0,3,2,169000
23,4,1242,336.0,3,1,109900
27,7,2000,650.0,1,2,188000
17,6,1412,280.0,3,1,132500
16,5,990,440.0,2,1,143000
23,5,1342,256.0,3,1,125000
5,9,1868,1085.0,1,1,415000
18,4,1363,528.0,3,2,125500
21,6,1632,338.0,2,1,139000
5,10,2296,842.0,2,2,451950
2,8,1296,471.0,1,1,220000
21,6,1587,525.0,3,1,167300
23,5,1298,256.0,3,1,122000
25,5,1728,504.0,3,1,125000
18,5,928,288.0,1,1,112500
16,7,1795,578.0,2,2,191000
21,6,1080,288.0,3,1,136000
16,7,1779,546.0,2,2,197900
18,6,1635,255.0,3,1,117000
16,7,1220,632.0,2,1,194000
8,9,1310,545.0,2,1,285000
6,7,2295,590.0,2,2,268000
18,4,1798,342.0,3,2,137000
11,7,1620,578.0,3,1,215000
21,5,1216,336.0,2,1,129500
17,5,1344,240.0,3,1,115000
18,5,1159,288.0,3,1,114000
10,4,1056,384.0,3,1,107000
21,5,1216,336.0,3,1,118500
17,6,1158,208.0,2,1,120000
8,8,1538,484.0,2,1,260000
21,5,1143,308.0,2,1,136000
21,4,872,480.0,3,1,123000
15,6,1324,430.0,1,1,199500
25,5,904,408.0,3,1,109900
4,7,2080,282.0,3,2,234000
16,6,848,420.0,2,1,155900
19,4,1788,304.0,3,1,161500
2,6,1344,525.0,2,1,137500
19,6,2060,521.0,3,2,211000
21,6,1337,511.0,1,1,181000
21,6,1165,490.0,2,1,174900
25,5,1320,564.0,2,1,164500
5,7,1535,532.0,2,1,214000
11,7,2044,489.0,3,2,185000
17,4,1136,336.0,3,1,123000
27,6,1299,486.0,2,1,183500
8,8,1441,492.0,3,2,174000
23,5,1630,649.0,3,1,130000
18,7,1641,546.0,3,2,178000
15,5,1629,482.0,1,2,189900
16,6,848,420.0,1,1,144000
22,6,816,432.0,3,1,120500
16,5,1097,672.0,3,1,145000
3,8,1652,499.0,2,1,251000
22,2,810,280.0,3,1,57625
5,7,1358,484.0,2,1,212500
27,6,1216,402.0,3,1,164000
22,6,1638,384.0,3,1,139000
8,7,1252,462.0,3,2,160000
27,5,883,698.0,3,1,149000
27,5,874,288.0,2,1,130000
18,7,1710,480.0,3,2,140000
8,8,1836,517.0,1,1,264500
21,5,1092,299.0,1,1,141000
8,7,1241,569.0,1,1,199900
11,6,1334,630.0,2,1,167900
21,6,1429,572.0,3,1,181900
8,8,1566,750.0,2,1,262500
11,7,2288,520.0,2,2,230000
8,9,1709,506.0,1,1,328900
5,8,1721,554.0,2,1,232698
16,8,1254,810.0,2,1,221800
25,5,1350,627.0,3,1,152400
16,7,1630,451.0,3,1,213000
10,7,1585,449.0,2,2,184900
4,5,1336,375.0,3,1,157000
25,5,1211,576.0,3,1,144000
11,6,1353,478.0,2,1,192350
21,7,1200,440.0,2,1,163500
10,7,2329,514.0,3,2,262280
16,7,1536,532.0,2,1,214000
4,6,1811,470.0,1,1,230000
5,7,2172,947.0,2,2,280000
22,4,1073,720.0,3,1,140000
21,6,1839,442.0,3,2,155000
10,6,1802,1017.0,2,2,218000
16,5,1009,576.0,3,1,160000
8,8,1338,598.0,2,1,208900
23,5,3820,624.0,3,1,284700
8,7,1392,540.0,3,2,146000
1,8,1288,500.0,1,1,245500
17,6,1013,160.0,3,1,113000
5,8,1782,932.0,1,1,296000
3,9,1922,676.0,1,1,377426
5,10,1718,786.0,1,1,337500
5,10,2492,949.0,1,1,552000
23,4,936,265.0,3,1,97900
8,6,1218,676.0,1,1,208300
27,7,1820,816.0,3,2,213000
16,7,1724,527.0,1,2,188000
21,6,1336,488.0,2,1,162000
22,5,1558,282.0,3,1,152000
8,7,1947,678.0,2,2,254900
10,7,1657,483.0,2,2,189000
11,7,2064,550.0,1,1,235000
23,5,1164,240.0,3,1,125000
12,7,836,308.0,3,1,120000
27,1,1600,270.0,3,1,81500
8,9,1766,478.0,1,1,370878
4,5,2002,871.0,3,2,145000
4,7,1954,431.0,3,1,311500
13,7,1364,437.0,1,1,210250
16,7,1861,492.0,2,2,200000
27,5,1734,539.0,3,1,126000
18,4,1039,281.0,3,2,114000
18,4,1510,720.0,3,2,87500
3,8,2541,729.0,1,2,349265
10,8,1512,845.0,2,1,203000
10,7,1434,527.0,2,1,189000
8,7,1653,628.0,2,2,209000
18,6,2007,357.0,3,2,160000
25,5,1037,431.0,2,1,129000
27,5,1389,418.0,2,1,170000
4,5,694,352.0,3,1,90350
16,5,894,552.0,3,1,149900
21,5,864,576.0,3,1,123000
18,4,1774,779.0,3,2,87000
27,6,1118,358.0,1,1,171000
21,6,1252,288.0,3,1,119000
21,5,1148,672.0,3,1,132500
18,8,1666,228.0,3,2,161000
16,9,1947,725.0,1,2,274000
25,5,912,336.0,3,1,125000
6,8,1624,757.0,2,1,262000
16,5,914,444.0,3,1,134900
2,5,1328,308.0,2,1,170000
4,6,1461,225.0,3,2,135000
6,6,2683,473.0,2,2,290000
15,7,1258,462.0,2,1,173500
23,5,2008,230.0,3,2,225000
21,5,1187,440.0,2,1,140500
16,5,990,299.0,3,1,126000
8,8,1586,480.0,3,2,170000
16,5,990,576.0,3,1,156000
21,5,1600,319.0,2,1,207500
8,8,1792,590.0,1,2,255000
28,4,988,297.0,2,1,94900
21,5,1170,338.0,2,1,140000
18,3,1376,216.0,3,2,96900
